"item","quantity"
"21'' Push Mower",905
"72'' Rider Mower",178
"Seasonal Color Materials",16
"Flagstone",1640
"Annual",56
"Black Mulch",3033
"Trimming",71
"Pine Straw",59
"Snow Removal",22
"Take Down and Removal (TDR)",48
"Pruning",11
"Blowing",115
"36'' Walk Behind Mower",124
"Edging",231
"Shearing",12
"Trash Pickup",54
"Prodiamine",6760
"Turf Care Labor",4
"Enhancement Labor",8
"Landscape Labor",172
"Shrubs - 1 gal",16
"Snow Blower",9
"General Maintenance",554
"Snow Plow",22
"N30",101142
"Winter Leaf Collection",56
"Triplet",15168
"Round 1 Turf Care",338
"Install Labor",375
"Shrubs - 15 gal",1
"Snow Broom",15
"Trimec",21969
"Potash",4066
"Stump Grinding",11
"Trees - 100 gal",24
"Demolition Labor",195
"Tree Raise",4
"Urea",8445
"Turf Care",616
"1in T",26
"Dozen Cookies",20
"Bark Beetle Spray",3471
"IPM Visit 4",11
"Round 5 Turf Care",337
"Wood Removal",7
"Core Plug",4
"IPM Visit 5",11
"Round 4 Turf Care",337
"Round 3 Turf Care",337
"Palms - below '15",38
"Trees - 15 gal",15
"Irrigation",11
"Round 2 Turf Care",340
"Tree Pruning",24
"1 in elbow",2
"Winter Discount",41
"IPM Visit 2",11
"Bubble Up Box",15
"IPM Visit 1",11
"Paver Patio Installation",394
"MAINTENANCE LBR",1
"Irrigation Startup",36
"IPM Visit 3",11
"Monthly Maintanence",135
"Northern Hardwood Bark Mulch",6
"Box of Bones",119
"Area Drain",2
"Prepay Discount",38
"Enriched Topsoil",8
"Lawn Mowing",140
"Debris Amount",0
"FCL - Equipment Charge",0
"Tree String",11
"Fall Leaf Clean Up FCL - Travel",0
"Transfilm",33
"Abelia 'Sherwood' - 3gal.",1
"Boxwood 'American' - 24x24""",1
"Coneflower - Purple - 1gal.",12
"Foster's Holly - 9-10'",6
"Loropetalum 'Burgundy' - 3gal.",12
"Miscanthus Grass 'Gacilimus' 3g",78
"Tree Trimming",1
"Landscape Equipment Trailer",78
"Percentage Down   ____________%",0
"Bark Spray Application",1
"Foliar Spray Labor",5
"Tree Stakes",6
"Dump Truck",78
"Fall Leaf Clean Up - (#) Visits",0
"FCL - Remove Debris",0
"Structural Pruning",15
"Astro",0
"IPM Program",19
"Tempo",0
"Abelia 'Kaleidoscope' - 3gal.",1
"Fescue Seed Turf Type Blend 50#",2
"Fringe Tree (white) - 7-8'",1
"Holly ' Burford' Tree Form 5-6'",1
"Hydrangea 'Endless Summer' 3gal",4
"Jasmine 'Confederate' - 3gal.",2
"Landscape Fabric -",2600
"Hornbeam Tree",17
"FCL - Cut Back Perennials",0
"Rejuvenation Pruning",3
"ArborJet #3 Plugs",0
"Chlorothalonil 720",0
"12"" spray",2
"Fern 'Southern Shield' - 3gal.",9
"Discount",1
"Debris Amount (buckets)",0
"FCL - Mark Up",0
"Advance",36
"Imidacloprid 2F",0
"MnJet Tree Nutrient Booster",10
"Propiconazole Select",4
"Mulch-Brown Double Shredded",1000
"Stone - Gravel - #57",65
"Additional Margin",3
"Horticultural Oil",0
"Micro-Injection Labor",1
"Propicanizole 41.8%",0
"Anise 'Florida Sunshine' 3g",2
"Azalea ' Gumpo' (white) - 3gal",7
"Holly 'Burford' Tree Form 9-10'",1
"Sand - Concrete Sand -",39
"Seasonal Color Flowers and Materials",2
"sysnthetic turf",10
"Holiday Lights",1
"CJ Test with Prod Rate",0
"1.5"" union",1
"Abelia 'Rose Creek' - 3gal.",1
"Akebia Vine - 3gal.",24
"Magnolia 'Teddy Bear' - 10-12'",3
